Capacitance,0201 | 25V,0201 | 50V,0402 | 16V,0402 | 25V,0402 | 50V,0603 | 16V,0603 | 25V,0603 | 50V,0805 | 16V,0805 | 25V,0805 | 50V,1206 | 16V,1206 | 25V,1206 | 50V,1210 | 25V,1210 | 50V,1812 | 50V
270 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
330 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
390 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
470 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
560 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
680 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
820 pF,,,,,,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
1.0 nF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
1.2 nF,,,,,,   0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.85± 0.1, 0.85± 0.1, 0.85± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1 ,1.25± 0.2 ,1.25± 0.2,1.25± 0.2
1.5 nF,,,,,,   0.8± 0.1,0.8± 0.1, 0.8± 0.1, 0.85± 0.1, 0.85± 0.1, 0.85± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1 ,1.25± 0.2,1.25± 0.2,1.25± 0.2
